Unnamed: 0,content,L,G,B,T,O,NR
61,caga jotos hagan url,0,1,0,0,0,0
62,buena noche deporte desestres cena amigo maricas cuidan línea jajaja ches jotos descansar dicho,0,1,0,0,0,0
63,rober_paradise mundoatlas dejo ir aah muuy feliz ser chiva maricon :raised_fist::raised_fist::raised_fist:,0,1,0,0,0,0
64,pena mejor performance unas vestidas malos premios vmas,0,0,0,1,0,0
65,joserive_ ailed_merida maricas ustedes,0,1,0,0,0,0
66,manunisima sucedió lesbiana loca edificio seguro /cc soylakikis,1,0,0,0,0,0
67,reeemputa dejen jugar mujeres trans torneos femeniles vergas bloqueas cabron pesa doble triple fuerza,0,0,0,1,0,0
68,kenya_coronado cállese vieja lesbiana,1,0,0,0,0,0
69,ptm ando joto jajajajajajajajajaja kiero llorar felicitaciones q dado u.u,0,1,0,0,0,0
70,debe ser papá mamá gay gay saludos sur df tráfico fluido sabueso dl sur,0,1,0,0,0,0
71,benemeritosgc fanaticos mariquitas ustedes además capaces seguro organizar golpe vigilar enfermizos policia guardiacivil zoidoji,0,1,0,0,0,0
72,nora_ruvalcaba roycampos pgr_mx twittersupport rickdjmx emarthaaide ileana_mex sofimenem carlostorresf_ manuelvegacln carmen_olvera ysenger magdagraciasfch manches maricones tirar alguien silla ruedas tener madre hacen mitin va ruso madr earon prepotente,0,1,0,0,0,0
73,sergiosarmiento fernandeznorona viejo ma pendejo maricon norona,0,1,0,0,0,0
74,eduardotrelles confundas wilo solo trelles sabia sabíamos maricones q mafia favor televisa,0,1,0,0,0,0
75,lexpedraza si puñal,0,1,0,0,0,0
76,partida skywars hecho enojar ma ninguna ven ak marica url,0,1,0,0,0,0
77,poqkeeet vato :face_with_rolling_eyes: puta lencha,1,0,0,0,0,0
78,lemur____ maricon ofendido :face_with_tears_of_joy:,0,1,0,0,0,0
79,mscharlottewwe padre pendejos pendeja marica,0,1,0,0,0,0
80,amigo dice ser gay únicamente sabrosear amigas :face_with_tears_of_joy::face_with_tears_of_joy: bien ahí campeón,0,1,0,0,0,0
81,mejor `` '' q incluye femenino masculino transgénero homosexual bisexual q semana agregue corrección política url,0,0,0,0,1,0
82,cooperamos hacerle restauración clarketo culo seguro busca arreglarse closetero clark bautizo :glass_of_milk: acuerde regresa buen camino :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: url,0,1,0,0,0,0
83,¿qué pedo putos ¿quién infló ego da valor quién hizo daño,0,1,0,0,0,0
84,realmarosilva ma disgusto ver persona trans pasa escondiendo ser trans si ..,0,0,0,1,0,0
85,elmexparienton f puros chistes jotos q onda,0,1,0,0,0,0
86,nhaiper oalh javierenrikez :face_with_tears_of_joy: mayate chicharra,0,1,0,0,0,0
87,aztecapuebla prudrirse l carsel x estafador corrupto pinche mariquita,0,1,0,0,0,0
88,cómo favs putos url,0,1,0,0,0,0
89,_romirodriguez jajaja marica verdad cree marica jajaja,0,1,0,0,0,0
90,julioorojo primero buenos días segundo quito joto,0,1,0,0,0,0
91,eeeeeel panchoso corridos diciendo narco mamo jajajajajajajaja nunca ah visto putisimabida joto jajaja,0,1,0,0,0,0
92,jotos fin caen bien jaja :face_with_tears_of_joy: url,0,1,0,0,0,0
93,je_cancino tigresoficial sacaron jotos jajaja celebrar segundo ame grabar,0,1,0,0,0,0
94,vida odia joto,0,1,0,0,0,0
95,rayos bloqueo marica,0,1,0,0,0,0
96,castillejos_m mamon localista va rayados jusgas pinche joto,0,1,0,0,0,0
97,puto hizo sinónimo gay joto puñetas marica bombillo manocaida hipócritas fifacom puto puto,0,1,0,0,0,0
98,eh mames tampoco joto,0,1,0,0,0,0
99,bauzaoficial nadiferpineda marlon_ramirezm ariannaangelesa iraismj carlosrugeriom recuerda allegados compadres amantes mayates influyente actual administración puede hacer menos gente,0,1,0,0,0,0
100,tan pinche mandilon joto,0,1,0,0,0,0
101,monift joto abrazó jajaj ntc tocan bien,0,1,0,0,0,0
102,nflenmiadn maricones,0,1,0,0,0,0
103,chiste cuenta solo pinche gallo maricón cagón aparte mamador :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: url,0,1,0,0,0,0
104,mal momento puto taquero ponga hotel california :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0,1,0,0,0,0
105,q gay viste,0,1,0,0,0,0
106,neta sorprende hueva gueis vato bien parecido-mamado pone cosas chile dan gracia jotos `` juhjugujugjug pazas '' url,0,1,0,0,0,0
107,nisiquiera sabia puta drogadicta horrenda machorra tenia twitter :unamused_face::face_with_rolling_eyes::nauseated_face:,1,0,0,0,0,0
108,lilheathenmma pinche joto maricon decepcionante participación jamás pagaría verte nuevamente octágono,0,1,0,0,0,0
109,morirse clase escuela pa jotos,0,1,0,0,0,0
110,amigo luego lesbiana lesbiana karla garcía amo karla así chichi mega machorra omg pensé hombre,1,0,0,0,0,0
111,kpx voz trans :water_pistol::water_pistol:,0,0,0,1,0,0
112,explíquenme urgencia jotos hacer reel tiktoks peluca voz mujer,0,1,0,0,0,0
113,si creen argentina importa saben mexico :hot_pepper: pd quisieron coger do gay :face_with_monocle::thumbs_up_medium_skin_tone:,0,1,0,0,0,0
114,jenarovillamil jjrendon joto joto rendón méxico rt,0,1,0,0,0,0
115,puto viejo joto alvvvvvvv pícate culo punto formato vergas ishikawa pelan alv pendejo metete verga alvvvvvvvvv,0,1,0,0,0,0
116,caso closeteros escorpio peores tlj doctores niños rico hijos papi mami url,0,1,0,0,0,0
117,_tiogamboin valiste verga url f soda jotos,0,1,0,0,0,0
118,marica veo cucaracha :confounded_face: asca diug,0,1,0,0,0,0
119,url esperabas arcoíris :rainbow: marica,0,1,0,0,0,0
120,ahhh ademas chairo mdejo mayate si reúnes eh,0,1,0,0,0,0
121,ex famoso actor tunde durísimo rivales llamándola incluso '' cara travesti '' entérate,0,0,0,1,0,0
122,mira pendejo mides mt piernas nalgas feo prieto terminar juzgas conoces enseñaron respeto casa sabes debe entablar conversación url envidioso marica,0,1,0,0,0,0
123,puedes criticar llamarme afeminado tremenda falta respeto buen milenial mides bye,0,1,0,0,0,0
124,niñas hermosas frente resulta lenchas nomames,1,0,0,0,0,0
125,ver si dejas stalkear maricon,0,1,0,0,0,0
126,rovazquezl joto pocos huevos si foto dm publicamos,0,1,0,0,0,0
127,leonkrauze chemamtzmtz conclusión krause miedo perder chayote próximo sexenio va contestar digno preciado tiempo llorar mariquita,0,1,0,0,0,0
128,will_fucku marica ahorita bajo vos cierto todavía sirve transformer jajajajajajaja entras estudiar,0,1,0,1,0,0
129,renacova parte penales pésimamente ejecutados dicen cruzazulcd maricas,0,1,0,0,0,0
130,pedo salga esposo transexual p ahí cambium,0,0,0,1,0,0
131,¿por tantos homosexuales lenchas carrera qfb aquí uam ¡¿pinches :face_with_crossed-out_eyes:,1,1,0,0,0,0
132,bob_chavez cola solo respeto lesbianas mujeres bisexuales jajaja jotos,0,1,0,0,0,0
133,sensei artes místicas chamanicas demas yerbas bien chambeador funcionario público gay homosexual joto putito quieran llamarlo decía sensei jotito chambeador aberración dios chingarle funcionarios url,0,1,0,0,0,0
134,visto foto perfil ajajajajaj k gay,0,1,0,0,0,0
135,sana_tu_vida respeto gana respeto comienza termina empieza además faltado respeto ud ningún joto particular pues generalice llamando así culo alegre perdón sinceridad pase usted linda tarde,0,1,0,0,0,0
136,fuerte epn olías putito url,0,1,0,0,0,0
137,mariquita calzones url,0,1,0,0,0,0
138,enrique_loopez nmms aguante maricon :face_with_tears_of_joy:,0,1,0,0,0,0
139,mexico_survivor termine pinche teatro si ganador producción joto warrior pinche decepción reality tener ver adefesio llamado naomi transformé pudran quedan disque compitiendo,0,1,0,0,1,0
140,gay apenas puedes decir piensan quieres sexo jajajaja :face_with_tears_of_joy:,0,1,0,0,0,0
141,huele marica,0,1,0,0,0,0
142,¿no respetar hecho alguien repudie homosexuales/afroamericanos/etc digo gusta vivir odiando cosas,0,1,0,0,1,0
143,ali espinoza vázquez ali lewandowiski llama ali espinoza vázquez violador come caca mierda viola niñas ali lewandowiski espinoza vázquez s comen mierdas violador viven villa hidalgo carota maricon playera rosa colocho vete villa hidalgo come caca mierda url,0,1,0,0,1,0
144,familiares gay trans lesbianas amo muchísimo propios concursos miss universo si debería ser solo mujeres url,1,1,0,1,1,0
145,manny pacquiao “ homosexuales peores animales ” url,0,1,0,0,0,0
146,brucita mariquita :woman_dancing_medium-light_skin_tone:,0,1,0,0,0,0
147,bts hacen seres asexuales eunucos así raro,0,0,0,0,1,0
148,cortate pelo gay mexicali baja california url,0,1,0,0,0,0
149,exatlonmx marica escuchaste pato cobardes,0,1,0,0,0,0
150,difícil ver s jóvenes años aun buscan identidad pasan diversas etapas chaka-emo-hipster-bisexual,0,0,1,0,0,0
151,marica loca quiere bailar,0,1,0,0,0,0
152,puto lea,0,1,0,0,0,0
153,kai_leonardo uy joto,0,1,0,0,0,0
154,masterastockhd maricon,0,1,0,0,0,0
155,jajajaja maricón jajaja alv cierto ¿no dolió mezcla mejor barca madrid messi cr,0,1,0,0,0,0
156,yubitzavilla juro qe joto lloronnn :tired_face::tired_face::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,0,1,0,0,0,0
157,caga marica puedes llegar ser,0,1,0,0,0,0
158,sandycoben obvio peluca obvio justicieros género verga si trans queer travesti,0,0,0,1,1,0
159,lillytellez día mujer lesbianas machorras esperpentos marionetas conservadurismo géneros evolucionado escuchado vox verdaderas,1,0,0,1,0,0
160,pinche viejo joto años yendo tocadas sabes van empujar aguántese,0,1,0,0,0,0
161,nandoreyes hace rato escuchando narración hicimos url grité goles mariquita calzones :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0,1,0,0,0,0
162,igual cachamos transformer tuit miren .. triste,0,0,0,1,0,0
163,url puto primero contagie coronavirus :rolling_on_the_floor_laughing::man_facepalming::face_with_thermometer:,0,1,0,0,0,0
164,liatrueba luego porqué lesbianas pinche descomposición cabe duda echado perder mundo ¡cuanto pinche joto dios bueno mejor tocan,1,1,0,0,0,0
165,siento bola inútiles homosexuales compara viajes ma disfrutado vida amo perros coralina daylight club url,0,1,0,0,0,0
166,gooooooool huevooo putos bravo maricones,0,1,0,0,0,0
167,lopezdoriga ahora tigre maricon pinche vendido si quieres vente pago boleto veas coronarse chivas,0,1,0,0,0,0
168,andrewsgamez jajaja joto,0,1,0,0,0,0
169,albornoz_mx javier_corral tierra dice “ joto ” animo ofender comunidad lgbt,0,1,0,0,0,0
170,diegoteodia pinche joto jajajajajaja,0,1,0,0,0,0
171,homofobia culpa maricones corrientes gente gay respetada,0,1,0,0,0,0
172,caga sentir alguien caga solo echo sentir siento tan marica,0,1,0,0,0,0
173,juanbcrra gay,0,1,0,0,0,0
174,panda oro miembro quiero vaya cagada fox sport rompiendo tridente mágico meter calzador narraciones machorra,1,0,0,0,0,0
175,maricon mierda,0,1,0,0,0,0
176,jurooooo queríamos bailar tan joto :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::smiling_face_with_horns: danieltvherrera arturomapache… url,0,1,0,0,0,0
177,ree encabrona hombre enojen niñas pendejadas groceros url luego tachan dramáurl maduren putos,0,1,0,0,0,0
178,gay dicen `` bro '' namames come doblada vienes decir `` bro '',0,1,0,0,0,0
179,“ putos hombre we bueno joto ”,0,1,0,0,0,0
180,i_muor weba gente quema hace caros productos habla queja regala taco necesitados maricones dicen,0,1,0,0,0,0
181,asfixiada sobrina lenchita chiquita hambre,1,0,0,0,0,0
182,aaah viejillo mañurl puñal diría url,0,1,0,0,0,0
183,oigan ¿no parece vladimir putin joto ven dicen soltero maduro mary kong seguro,0,1,0,0,0,0
184,latortilleriaq si vamos hacer vagón `` seguro '' incluya hombre gay saquen lenchas appleninde inmujerescdmx,1,1,0,0,0,0
185,fcomovaz biejo joto,0,1,0,0,0,0
186,conozco nadie pueblo salir solo mejor amigo marica sé dormir obliga beber solo :sad_but_relieved_face:,0,1,0,0,0,0
187,`` mamada aceptaría hígado pendejo hijo potrillo '' vicente podemos decir ok entonces `` rechacé transplante tal homosexual drogadicto '',0,1,0,0,0,0
188,frase-puñal pablo iglesias '' acuerdo albert rivera derechas haga falta '' elpaisdebate,0,1,0,0,1,0
189,video tan sincero puto escorpiongolden url gente favor,0,1,0,0,1,0
190,ven bastante jotos,0,1,0,0,0,0
191,sergioesquerra marvinfiscal lcoanabe preocupes atiendo gay lesbianas conocido simpatizo comunidad prefiero atender asuntos tener tipo clientes exponiendo colegas ser `` chuleados '' persona saben respetar buenos días,1,1,0,0,0,0
192,neta hombre apoda '' chofis '' ... pedazo joto p,0,1,0,0,0,0
193,va descontroooolooooooooooooolaaaaaaaaaaaar aaronramsey llévate joto mario bautista plis,0,1,0,0,0,0
194,si muchas vestidas agregadas tener mayate ser,0,1,0,0,0,0
195,amor t doy besitos q chilles q maricon babe,0,1,0,0,0,0
196,¿a dónde va ir vacaciones -nueva york -las vega -parís -londres toda jotas clichés saben destinos,0,1,0,0,0,0
197,llorar joto nomás débiles lloran,0,1,0,0,0,0
198,caifo maricon primero van amigo ¿cuando llegas,0,1,0,0,0,0
199,homosexuales sientan rihanna piensen algún día ser serios horita pronto seguimos busqueda,0,1,0,0,0,0
200,ofendidos molotov cantaba puto wey méxico puto vemos sinónimo “ homosexual ” puto pone salcita pica taco va america ofende cualquier pendejada putos url,0,1,0,0,0,0
201,aguantense pinch maricas pechos frios :face_with_tears_of_joy:,0,1,0,0,0,0
202,iyaroboxander jajaja odio dios combinado quitará travesti ve jared,0,0,0,1,0,0
203,`` ¡marica `` gritaron entonces guardó clóset,0,1,0,0,0,0
204,¿saben sheinbaum desapareció cuerpo granaderos exacto volvió bisexuales mafia gay,0,1,1,0,0,0
205,csalcedojr color cabello parece travesti merced jajajajaja tigresoficial url,0,0,0,1,0,0
206,¿no gusta zayn preocupes sabia lesbiana,1,0,0,0,0,0
207,muero risa platico tipo dice ser bisexual activo súper discreto jamás novia ex pura jota :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0,0,1,0,0,0
208,mickemeda aplica cualquier modo si homosexuales michoacanos cedemex desequilibró balanza dejando concentración anormal,0,1,0,0,0,0
209,lopezobrador_ johnmackerman si pera pendejo estes metiendo pinche ratero homosexual marcelo enrad pertenrsen mafia poder,0,1,0,0,0,0
210,paco maricón ql url,0,1,0,0,0,0
211,entiendo existen hombre tan maricones dios mioooooo penita,0,1,0,0,0,0
212,danielalepe_p mariquita,0,1,0,0,0,0
213,señor marica aesquinca marthadebayle,0,1,0,0,0,0
214,nerazzuro maciones pinche url aizen gay,0,1,0,0,0,0
215,majomendivil cálmese lesbiana frustrada,1,0,0,0,0,0
216,gente quiere joto jaja maman,0,1,0,0,0,0
217,dan mucha risa meme jota caso cerrado :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0,1,0,0,0,0
218,donvocero promete debe cumplir quejarse lloriquear maricones cumpla prometió chingada sigo esperando gasolina peso narcos cambien armas tractores crecimiento ciento anual contentas adorarlo,0,1,0,0,0,0
219,fernanfloo guevon maricon haces dije juega nivel online geometry dash si vez dije,0,1,0,0,0,0
220,mariobautista_ nuevo juan gabriel joto url,0,1,0,0,0,0
221,:smiling_face_with_hearts: monterrey mariquitas url,0,1,0,0,0,0
222,federer mierda esfuerzo jugar marica tie break,0,1,0,0,0,0
223,jlozanoa mfbeltrones puras pinch cacas felicitas dios cría juntan borracho borracho drogo drogo joto joto machorra machorra lozano beltrones,1,1,0,0,0,0
224,puro joto tóxico peleonero cumple años mayo :skull:,0,1,0,0,0,0
225,abrahamendieta jota liosa derecha,0,1,0,0,0,0
226,brendaplancarte jajajajajaja puto wilo,0,1,0,0,1,0
227,deja doler panza comido:confounded_face:que pasó amigo dónde quedó estómago hierro poniendo medio gay,0,1,0,0,0,0
228,boda gay ¿les avientan arroz popote,0,1,0,0,0,0
229,fer_gay therock alexmonthy hectortrejo inspiró recordándome canción url,0,0,0,0,1,0
230,sabado quién debe ser mensaje festejo viejito bastón lunes pum andarle jugando vergas mandaron chingada computrabajo puedes buscarle `` recamarera `` maldito marica,0,1,0,0,0,0
231,mario__tag freddier nono curso profesional eco drag race car estudiantes millones crowdsourcea nuevo tesla,0,0,0,0,1,0
232,jajaja lesbianas dan miedo,1,0,0,0,0,0
233,metele joto suerte :winking_face::thumbs_up:,0,1,0,0,0,0
234,traviesoarce pinche puto maricon huevitos miedo primero hablador ahora disculpa falta huevos :pile_of_poo::pile_of_poo::pile_of_poo:,0,1,0,0,0,0
235,evidegaray sofiariverat linda abuelita gay evidegaray puñal url,0,1,0,0,0,0
236,tarda jotas liosas pongan hacer comparaciones url :face_savoring_food: url,0,1,0,0,0,0
237,¿en momento tinder permitió apartado mujeres llevará homosexuales fingen ser mujeres todavía cobran verlos fracasando tinder,0,1,0,0,0,0
238,caga jugador único toda excelencia opaca toda estupidez hace maricón,0,1,0,0,0,0
239,tragedias marcaron -legalización matrimonio homosexual -asalto capitolio -protistas cuba -atlas cruz azul campeones lleno bendiciones éxitos alegrías menos tragedias,0,1,0,0,0,0
240,aristeguionline si creen lesbiana ésta chequense mensias claro ejemplo tema,1,0,0,0,0,0
241,¿qué onda amigas hermana años dicen bisexuales seaaaa,0,0,1,0,0,0
242,huele joto playa muertos in puerto vallarta jalisco url,0,1,0,0,0,0
243,lasantiagoo jajaja po mariquita llamaría decirte `` gay '' así después colgaría,0,1,0,0,0,0
244,mejor hago puto,0,1,0,0,0,0
245,weyes cejas travesti sabe dan jota tele,0,0,0,1,0,0
246,putos mierda equipa ma maricon clase corazon url equipo ma odie chelsea,0,1,0,0,0,0
247,nachtavera estes joto siempre hablo perro,0,1,0,0,0,0
248,_nxlsxn caracoldiaz tatiana joto parece conoces encuerada,0,1,0,0,0,0
249,coincamx jackskinripper robertito_bravo va pescar mayates mar adentro nadie vea depravaciónes tremendo homosexual,0,1,0,0,0,0
250,parecen transformer madres ciertamente pobre url,0,0,0,1,0,0
251,puto vestido culero,0,1,0,0,1,0
252,acabo juego maldito joto asqueroso pagas pq pagas :face_with_hand_over_mouth::enraged_face:,0,1,0,0,0,0
253,uomodisabbia chivas religionsagrada refuerzoschivas somos_de_chivas jajaja siempre tira piso maricon confirmó,0,1,0,0,0,0
254,xxxabsolut halconnegrojr damiandgc fragsalitalent peor debes ser pinche joto horrible escuda tras cuenta foto tan culero minimo disumula gordura faja muerto hambre ardido nunca va quitar :face_blowing_a_kiss:,0,1,0,0,0,0
255,sancareforma chinga perra madre jotito,0,1,0,0,0,0
256,fin quito puto celebro,0,1,0,0,0,0
257,grandes jotos mamen disney+ :face_with_rolling_eyes:,0,1,0,0,0,0
258,felicitaciones medio do putos shit antonioattolini gibranrr gay si siguen cogiendo si pueden hacer url,0,1,0,0,0,0
259,hadalizy cervezatecate tecate broncas usemos mujeres trans peluqueras hablar orientación sexual educación nula,0,0,0,1,0,0
260,cafrealvolante puñal,0,1,0,0,0,0
261,ríen hablo gente trans especie va poner prueba identificarse humano queja parece espectacular cosas performance burla serio ... futuro :backhand_index_pointing_down_light_skin_tone: url,0,0,0,1,1,0
262,todd phillips director película joker aclaro basado cómics dc sino propia adaptación interpretación avisados anden pinch maricas llorando redes sociales .. possers url,0,1,0,0,0,0
263,tamedamus atlasfc mariquitas dicen ahora,0,1,0,0,0,0
264,fifas vean joto estadio superbowl ver rihanna url,0,1,0,0,0,0
265,“ gente binarie puede usar reloj usar do relojes usar reloj cualquier mano usar medio reloj usar reloj solo pie ninguna toda tiempo. ” -manual urbanidad carreño edición,0,0,0,0,1,0
266,eeduardobr negare equipo ande mal hecho caga juega si ofendiste comentarios pues puto amigo,0,1,0,0,0,0
267,pose lencha alfa :rolling_on_the_floor_laughing:,1,0,0,0,0,0
268,aurelionuno menos importa niñez mexicana utilizas escudar mezquinos intereses pinche mayate,0,1,0,0,0,0
269,cambiaste gorda mísera machorra culera :middle_finger_light_skin_tone::smiling_face_with_sunglasses: url,1,0,0,0,0,0
270,tsngirls girlyshemales shemalepro mytsvideo shemalelusty ts_lolita nenastranscom trannylovee blacktgirltube tscamstars brazil_trans blacktgirlsinfo godivatgirls hermosa,0,0,0,0,1,0
271,—bueno pues pasó euforia papá ahora dime vestido blanco azul —que vale verga color quítatelo pinche maricón,0,1,0,0,0,0
272,termines mordiendo almohadas mayate,0,1,0,0,0,0
273,dana_corres ytzmaya sof_j laura_lecuona la_go_mess hmmm entiendo reconocer diferencias implica luchar terceros solo ¿como aplica mujeres indígenas trans-nacionales ahora veo -digamos personal- sumando lucha negándola,0,0,0,0,1,0
274,machorra americanista :thinking_face:,1,0,0,0,0,0
275,marica,0,1,0,0,0,0
276,cree bien macho disque influencer realmente soyrobrmx marica puñetas gusta color rosa pone mameluco niños :rolling_on_the_floor_laughing: conlosninosno redamlove oposicionmoralmentederrotada gallotal redamlo rorocanibal url,0,1,0,0,0,0
277,chingan grito puto si sientes ofendido bien pendejo odiemos homosexuales,0,1,0,0,1,0
278,verá joto baking :face_with_tears_of_joy:,0,1,0,0,0,0
279,ustedes quieren nadie hagan jotos llega alguien ahí cargándola,0,1,0,0,0,0
280,aplican ches jotos,0,1,0,0,0,0
281,_angelalcala amealegarza oh rayos vino joto,0,1,0,0,0,0
282,puto check joto check maricón check problema,0,1,0,0,0,0
283,asiesmonterrey zeusxoldtj _vicman ponchodenigris salio domador jotito poncho doma mayate trae,0,1,0,0,0,0
284,si:new_moon_face: gusta pelea jijiji vamos darnos madre mariquita,0,1,0,0,0,0
285,ahora toda jotitas nuevas van vomitar elogios gaga sorry jessica lange goldenglobes,0,1,0,0,0,0
286,así méxico consulta charlatán transexual ver irá año dan hueva paisanos mhonieshechicerodesatanas,0,0,0,1,0,0
287,javierbaez_ castigo joto cdmx,0,1,0,0,0,0
288,djottomty bien joto pinche miserable mijo,0,1,0,0,0,0
289,cargan bolsa mujeres mean sentados pinch jotos,0,1,0,0,0,0
290,jackskinripper quieres regalar azael tremendo joto,0,1,0,0,0,0
