,content,L,G,B,T,O,NR
84,@RealMaroSilva no hay nada que me de mas disgusto que ver a una persona Trans que pasa escondiendo ser Trans. Como si .. Que.,0,0,0,1,0,0
85,@ElMexParienton Ya ves puros chistes de jotos q onda,0,1,0,0,0,0
86,@nhaiper @oalh @JavierEnrikez 😂   unos con el mayate. Otros chicharra,0,1,0,0,0,0
87,@AztecaPuebla tienen que prudrirse en l carsel x estafador y corrupto pinche mariquita,0,1,0,0,0,0
88,Cómo por qué tiene 6 favs putos url,0,1,0,0,0,0
89,@_RomiRodriguez jajaja marica? De verdad crees que soy marica? Jajaja,0,1,0,0,0,0
90,@julioorojo Primero que nada buenos días y segundo ya se te quito lo joto?,0,1,0,0,0,0
91,Eeeeeel panchoso con corridos diciendo que es narco se mamo! Jajajajajajajaja nunca ah visto ni una 9 en su putisimabida de joto jajaja,0,1,0,0,0,0
92,"Qué jotos pero en fin, me caen bien jaja 😂 url",0,1,0,0,0,0
93,@Je_Cancino @TigresOficial Me sacaron al 60 los jotos jajaja por celebrar el segundo del AME y grabar,0,1,0,0,0,0
94,@josecap97 Porque la vida te odia joto,0,1,0,0,0,0
95,"Rayos, me bloqueo el marica",0,1,0,0,0,0
96,@castillejos_m no seas mamon  no seas localista le vas a rayados y no nos jusgas pinche joto,0,1,0,0,0,0
97,"Desde cuando puto se hizo sinónimo de gay, joto, puñetas, marica, bombillo, manocaida? No sean hipócritas @FIFAcom puto es puto y ya.",0,1,0,0,0,0
98,@July46918263 Eh no mames tampoco soy joto,0,1,0,0,0,0
99,"@Juan_Karlos_36 @BauzaOficial @nadiferpineda @Marlon_RamirezM @AriannaAngelesA @iraismj @CarlosRugerioM Recuerda que los allegados y compadres,amantes,mayates, y todo influyente con la actual administración lo puede hacer. Menos la gente.",0,1,0,0,0,0
100,porque eres tan pinche mandilon joto,0,1,0,0,0,0
101,"@monift que joto no te abrazó jajaj ntc, tocan bien",0,1,0,0,0,0
102,@NFLenmiADN Los maricones de los 49s,0,1,0,0,0,0
103,"El chiste se cuenta solo. Pinche gallo maricón, cagón y aparte de todo mamador 😂😂😂 url",0,1,0,0,0,0
104,Mal momento para que el puto taquero ponga Hotel California 😂😂😂,0,1,0,0,0,0
105,@LaloRincn1 q gay te viste,0,1,0,0,0,0
106,"Neta no me sorprende, pero qué hueva con los gueis. Un vato bien parecido-mamado pone cosas que  al chile no dan nada de gracia y los jotos de ""Juhjugujugjug te pazas"". url",0,1,0,0,0,0
107,Nisiquiera Sabia Que Esa Puta Drogadicta Horrenda Y Machorra Tenia Twitter 😒🙄🤢,1,0,0,0,0,0
108,"@LiLHeathenMMA pinche joto maricon, decepcionante tu participación, jamás pagaría por verte nuevamente en el octágono",0,1,0,0,0,0
109,Morirse en una clase de la escuela es pa' jotos,0,1,0,0,0,0
110,"Amigos y luego había una lesbiana más lesbiana que Karla García(te amo Karla), así sin chichis y mega machorra omg pensé que era hombre",1,0,0,0,0,0
111,Kpx con mi voz de trans. 🔫🔫,0,0,0,1,0,0
112,explíquenme la urgencia de los jotos de hacer reels o tiktoks con peluca y voz de mujer,0,1,0,0,0,0
113,"Si creen que a las Argentinas no les importa nada, no saben lo que son en Mexico 🌶.
Pd: Ya me quisieron coger dos gays 🧐👍🏽",0,1,0,0,0,0
114,"@jenarovillamil @JJRENDON joto, joto rendón, fuera de México RT",0,1,0,0,0,0
115,Puto viejo joto alvvvvvvv pícate el culo con tu punto formato a3 y las vergas esas de ishikawa me la pelan alv pendejo metete el 6 por la verga alvvvvvvvvv,0,1,0,0,0,0
116,"En mi caso con:
- Closeteros
- Escorpio (son los peores tlj)
- Doctores
- Ni con niños ricos hijos de papi y mami url",0,1,0,0,0,0
117,@_TioGamboin Ya valiste verga con tu url Lo ves? Soda es de jotos.,0,1,0,0,0,0
118,"Soy el más #marica cuando veo una #cucaracha !!!! 😖

#asca
#diug",0,1,0,0,0,0
119,@url  Y esperabas tu arcoíris 🌈 marica?,0,1,0,0,0,0
120,"@pabluix1123 Ahhh ademas de chairo, mdejo y mayate ??? Si reúnes mucho, eh ???",0,1,0,0,0,0
121,"La ex de un famoso actor le tunde durísimo a una de sus rivales llamándola incluso""cara de travesti"". Entérate! 3pm",0,0,0,1,0,0
122,"Mira pendejo tu mides como 1.50 mts.
No tienes piernas ni nalgas, estás feo y prieto, y para terminar, porque juzgas, no me conoces, no te enseñaron respeto en tu casa?
Que no sabes que uno no debe entablar conversación con url #Envidioso tú eres marica",0,1,0,0,0,0
123,@adrianrm196 Me puedes criticar pero llamarme afeminado es tremenda falta de respeto. Como buen milenial no mides bye,0,1,0,0,0,0
124,Tengo 3 niñas hermosas frente a mi y resulta que son lenchas #nomames,1,0,0,0,0,0
125,A ver si ya me dejas de stalkear maricon,0,1,0,0,0,0
126,@RoVazquezL y es un joto pocos huevos. Si tienes foto: dm y la publicamos nosotros!!!!,0,1,0,0,0,0
127,"@LeonKrauze @chemamtzmtz Conclusión: los Krause tienen miedo de perder el chayote en el próximo sexenio, y como se que no me va a contestar por qué no soy digno de Preciado tiempo , sin llorar mariquita",0,1,0,0,0,0
128,@Will_FuckU marica ahorita bajo :) vos por cierto todavía sirve transformer JAJAJAJAJAJAJA cuando entras a estudiar ?,0,1,0,1,0,0
129,"@renacova A parte de los penales pésimamente ejecutados, eso no lo dicen ni @CruzAzulCD, ni los maricas de @jerryflores15 o @jesuscorona01.",0,1,0,0,0,0
130,@Maggie_Glez1 El pedo es que te salga un esposo transexual y ps ahí cambia todo.,0,0,0,1,0,0
131,"¿Por qué hay tantos homosexuales y lenchas en la carrera de QFB, aquí en la UAM? ¡¿PINCHES POR QUÉ?! 😵",1,1,0,0,0,0
132,@Bob_Chavez tu cola :/ yo solo respeto a las lesbianas y mujeres bisexuales •3• Jajaja los jotos que.,0,1,0,0,0,0
133,"Mi SENSEI en artes místicas CHAMANICAS y demas yerbas, era BIEN CHAMBEADOR como funcionario público y era GAY, HOMOSEXUAL, JOTO, PUTITO o como quieran llamarlo

Me decía mi SENSEI que, un jotito que no es CHAMBEADOR es una aberración de Dios

A chingarle funcionarios de la 4T url",0,1,0,0,0,0
134,"@Tovar32651838 no había visto tu foto de perfil, AJAJAJAJAJ k gay",0,1,0,0,0,0
135,"@sana_tu_vida El respeto se gana, y mi respeto comienza y termina donde empieza el suyo, pero además yo no le he faltado el respeto a ud. ni a ningún joto en particular pues yo generalice llamando así a todos los que son de culo alegre; perdón por mi sinceridad. Que pase usted una linda tarde.",0,1,0,0,0,0
136,Qué fuerte #Epn ya olías a #putito url,0,1,0,0,0,0
137,MARIQUITA SIN CALZONES ! url,0,1,0,0,0,0
138,@Enrique_Loopez Nmms aguante 2 Maricon!!! 😂,0,1,0,0,0,0
139,"@mexico_survivor Que se termine este pinche teatro 
Si ya tienen su ganador la producción y el joto del Warrior , pinche decepción de reality
tener que ver ese adefesio llamado Naomi el transformé que se pudran todos los que quedan disque compitiendo.",0,1,0,0,1,0
140,Esos gays apenas no les puedes decir algo y ya piensan que quieres sexo Jajajaja 😂,0,1,0,0,0,0
141,@GeraLetipichia7 Huele a marica,0,1,0,0,0,0
142,"¿No también hay que respetar el hecho de alguien repudie a homosexuales/afroamericanos/etc? Digo, hay quien gusta de vivir odiando cosas.",0,1,0,0,1,0
143,Ali Espinoza Vázquez ali lewandowiski se llama ali Espinoza Vázquez violador come caca y mierda viola niñas ali lewandowiski los Espinoza Vázquez s comen mierdas y violador viven en villa hidalgo carota de maricon playera rosa colocho vete de Villa Hidalgo  come caca y mierda url,0,1,0,0,1,0
144,"Tengo familiares Gay, Trans y lesbianas a los que amo muchísimo. Pero ellos tienen sus propios concursos, Miss universo si debería ser solo para mujeres. url",1,1,0,1,1,0
145,Manny Pacquiao: “ #Homosexuales son peores que los animales” url,0,1,0,0,0,0
146,Esta Brucita también es mariquita! 💃🏼,0,1,0,0,0,0
147,"Esos de BTS se me hacen seres asexuales, eunucos o algo así todo raro.",0,0,0,0,1,0
148,"Ya cortate el pelo, gay! @ Mexicali, Baja California url",0,1,0,0,0,0
149,@ExatlonMx que marica te escuchaste Pato eso es de cobardes,0,1,0,0,0,0
150,"Que difícil ver s los jóvenes de 15 y 17 años, muchos aun buscan su identidad y pasan por diversas etapas, chaka-emo-hipster-bisexual",0,0,1,0,0,0
151,La marica loca quiere bailar,0,1,0,0,0,0
152,Puto el que lo lea.,0,1,0,0,0,0
153,@kai_leonardo Uy un joto,0,1,0,0,0,0
154,@MasterastockHD maricon 7n7,0,1,0,0,0,0
155,"@LuisDV15 jajajaja también por maricón, jajaja alv es cierto ¿no te dolió? Es una mezcla de lo mejor del Barca y el Madrid sin Messi y CR :(",0,1,0,0,0,0
156,@yubitzavilla Te juro qe es joto lloronnn 😫😫🤣🤣,0,1,0,0,0,0
157,Me caga lo marica que puedes llegar a ser,0,1,0,0,0,0
158,@SandyCoben obvio no. Por eso la peluca?? Obvio se fueron de justicieros del género. Y a la verga si eres trans queer o travesti,0,0,0,1,1,0
159,"@LillyTellez Es día de la mujer, no de lesbianas, machorras, esperpentos, ni marionetas del conservadurismo, los géneros han evolucionado y se han escuchado las voces verdaderas.",1,0,0,1,0,0
160,Pinche viejo joto tienes como 50 años yendo a tocadas sabes que te van a empujar aguántese.,0,1,0,0,0,0
161,@nandoreyes Hace rato estaba escuchando la narración que hicimos url Grité los goles como mariquita sin calzones 😂😂😂,0,1,0,0,0,0
162,(Igual y cachamos a un transformer con este tuit. Y miren.. NO ESTARÍA PARA NADA TRISTE CON ESO),0,0,0,1,0,0
163,Yo url Puto el primero que se contagie del coronavirus! 🤣🤦‍♂️🤒,0,1,0,0,0,0
164,"@liatrueba Y luego porqué hay lesbianas; que pinche descomposición; no cabe duda esta echado a perder el mundo, ¡CUANTO PINCHE JOTO DIOS MÍO! Pero bueno mejor para nosotros, nos tocan más.",1,1,0,0,0,0
165,"Lo que siento por esta bola de inútiles homosexuales no se compara con nada, uno de los viajes que mas he disfrutado en la vida. Los amo perros!!! en Coralina Daylight Club url",0,1,0,0,0,0
166,GOOOOOOOOL !!! A HUEVOOO PUTOS BRAVOS  MARICONES,0,1,0,0,0,0
167,@lopezdoriga Ahora ya eres tigre maricon. Pinche vendido si quieres vente te pago el boleto para que veas coronarse a las Chivas,0,1,0,0,0,0
168,@AndrewsGamez jajaja no seas joto,0,1,0,0,0,0
169,@albornoz_mx @Javier_Corral En mi tierra se les dice “joto” sin animo de ofender a la comunidad LGBT,0,1,0,0,0,0
170,@Diegoteodia pinche joto jajajajajaja,0,1,0,0,0,0
171,"La homofobia es por culpa de los maricones corrientes, la gente gay es respetada.",0,1,0,0,0,0
172,"Me caga sentir tanto por alguien,me caga el solo echo de sentir,me siento tan marica.",0,1,0,0,0,0
173,@juanbcrra tu eres por gay,0,1,0,0,0,0
174,"Mi Panda de Oro con el miembro de fuera. Lo quiero mucho, vaya cagada de Fox Sports rompiendo el tridente mágico para meter con calzador en las narraciones a la machorra.",1,0,0,0,0,0
175,Maricon de mierda,0,1,0,0,0,0
176,Les jurooooo que no queríamos bailar tan joto 😂😂😂😂😂😂😈 @danieltvherrera @arturomapache… url,0,1,0,0,0,0
177,"Me ree encabrona que los hombres se enojen con las niñas por pendejadas, y hasta groceros url
Y luego nos tachan de dramáurl
Maduren putos!!",0,1,0,0,0,0
178,"Los gays que dicen ""Bro"", namames, te la comes doblada y me vienes a decir ""bro"".",0,1,0,0,0,0
179,“Putos hombres we qué bueno que no eres joto”,0,1,0,0,0,0
180,"@I_MUOR Que weba  la gente que quema a otros por que se les hace caros sus productos.

Habla más quien se queja del que regala sus tacos también a necesitados. 

Maricones les dicen*",0,1,0,0,0,0
181,@asfixiada tienes una sobrina lenchita desde chiquita o tenía hambre nada más?,1,0,0,0,0,0
182,"Aaah, viejillo mañurl puñal, diría yo url",0,1,0,0,0,0
183,"Oigan ¿No les parece que Vladimir Putin es Joto? 
Ya ven que dicen, soltero maduro, mary kong seguro.",0,1,0,0,0,0
184,"@LaTortilleriaQ si vamos a hacer un vagón ""seguro"" que incluya a hombres gay y saquen a lenchas

/@0ctavioGuerra @appleninde @InmujeresCDMX",1,1,0,0,0,0
185,@fcomovaz biejo joto,0,1,0,0,0,0
186,"Ya no conozco a nadie en el pueblo, para salir, solo mi mejor amigo y el marica ya sé fue a dormir!!! Eso me obliga a beber solo 😥",0,1,0,0,0,0
187,"""Ni de mamada aceptaría el hígado del pendejo de mi hijo el potrillo""

Vicente no podemos decir eso.

Ok entonces ""Rechacé el transplante porque qué tal qué es de un homosexual o un drogadicto""",0,1,0,0,0,0
188,"Frase-puñal de Pablo Iglesias:""No estoy de acuerdo con que Albert Rivera sea de derechas, es de lo que haga falta"". #ELPAISDebate",0,1,0,0,1,0
189,"Que video tan más sincero del puto ese de @ESCORPIONGOLDEN  url más gente como tú, en el 2016 por favor!!!",0,1,0,0,1,0
190,@kazitas78 Se ven bastante jotos,0,1,0,0,0,0
191,"@fernandaO17 @SergioEsquerra @marvinfiscal @LCoanaBe No te preocupes yo no atiendo gays ni lesbianas, es muy conocido que no simpatizo con esa comunidad y prefiero no atender asuntos ni tener ese tipo de clientes, exponiendo a mis colegas o a mi a ser ""chuleados"" por personas que no saben respetar al otro.
Buenos días.",1,1,0,0,0,0
192,"Neta que hombre se apoda""La chofis""... pedazo de joto ps que!!",0,1,0,0,0,0
193,Esto se va a descontroooolooooooooooooolaaaaaaaaaaaar @aaronramsey  llévate al joto de Mario Bautista plis,0,1,0,0,0,0
194,"Si muchas vestidas agregadas has de tener, mayate has de ser",0,1,0,0,0,0
195,@keevii08 Amor yo t doy besitos para q ya no chilles q maricon eres babe,0,1,0,0,0,0
196,"¿A dónde te vas a ir de vacaciones?
-Nueva York
-Las Vegas
-París
-Londres.
Todas las jotas clichés que no se saben otros destinos.",0,1,0,0,0,0
197,"@Mariana_car05 Soy llorar joto, nomás los débiles lloran!",0,1,0,0,0,0
198,"@Caifo no sea maricon, primero van los amigos, ¿cuando llegas?",0,1,0,0,0,0
199,Habrá homosexuales que no se sientan @rihanna y que piensen algún día en ser serios horita pronto?! Seguimos en la busqueda,0,1,0,0,0,0
200,"Todos ofendidos porque Molotov cantaba PUTO, wey en México el PUTO no lo vemos como sinónimo de “homosexual” PUTO es el que le pone salcita de la que no pica a sus tacos, el que le va al America, el que se ofende de cualquier pendejada, esos son los PUTOS! url",0,1,0,0,0,0
201,Aguantense pinches maricas pechos frios 😂,0,1,0,0,0,0
202,@iyaroboxander JAJAJA Ni el odio de dios combinado al tuyo le quitará lo travesti que se ve Jared.,0,0,0,1,0,0
203,"""¡Marica!"", le gritaron, y desde entonces se guardó en un clóset.",0,1,0,0,0,0
204,"¿Saben como fue que Sheinbaum desapareció el cuerpo de granaderos? 

Exacto. Los volvió bisexuales. MAFIA GAY.",0,1,1,0,0,0
205,@Csalcedojr con ese color de cabello parece travesti de la merced! Jajajajaja @TigresOficial url,0,0,0,1,0,0
206,¿No te gusta zayn? No te preocupes ya sabia que eras lesbiana.,1,0,0,0,0,0
207,"Muero de risa cuando platico con un tipo que dice ser bisexual, activo súper discreto, pero jamás ha tenido novia y sus ex son pura jota 😂😂😂",0,0,1,0,0,0
208,"@mickemeda Aplica de cualquier modo, si muchos homosexuales michoacanos fueron a cedemex se desequilibró la balanza dejando una concentración anormal",0,1,0,0,0,0
209,@lopezobrador_ @JohnMAckerman Si pera ya no seas pendejo y  estes metiendo a tanto pinche ratero como el homosexual de marcelo enrad y otros que pertenrsen a la mafia del poder,0,1,0,0,0,0
210,Paco maricón QL url,0,1,0,0,0,0
211,No entiendo porque existen hombres tan maricones !! DIOS MIOOOOOO! Que. Penita,0,1,0,0,0,0
212,@DanielaLepe_P Mariquita,0,1,0,0,0,0
213,Y señor marica @aesquinca @marthadebayle,0,1,0,0,0,0
214,@Snakenoe25 @nerazzuro maciones del pinche url Aizen GAY!!!,0,1,0,0,0,0
215,@EsmeraldaV30 @majomendivil Cálmese lesbiana frustrada,1,0,0,0,0,0
216,La gente ya quiere que todo sea joto jaja se maman.,0,1,0,0,0,0
217,Me dan mucha risa los memes de la jota de caso cerrado 😂😂😂,0,1,0,0,0,0
218,@Davidra00715781 @DonVocero El que promete debe cumplir. Quejarse o lloriquear es de maricones. Que cumpla lo que prometió o a la chingada. Sigo esperando la gasolina a 10 pesos y que los narcos cambien las armas por tractores y el crecimiento al 6 por ciento anual. Tu no? Te contentas con adorarlo?,0,1,0,0,0,0
219,"@Fernanfloo eres un guevon y maricon que no haces lo que te dije
juega otro nivel que no sea online en geometry dash y si lo vez ya te dije",0,1,0,0,0,0
220,@mariobautista_ el nuevo Juan Gabriel por joto url,0,1,0,0,0,0
221,🥰 Monterrey (y sus mariquitas) url,0,1,0,0,0,0
222,Federer mierda tanto esfuerzo para jugar como marica el Tie Break!! :(,0,1,0,0,0,0
223,"@JLozanoA @MFBeltrones A puras pinches cacas felicitas.
Dios los cría y ellos se juntan.
El borracho con el borracho, el drogo con el drogo, el joto con el joto, la machorra con la machorra.
Y Lozano con Beltrones.",1,1,0,0,0,0
224,Puro joto tóxico y peleonero cumple años en mayo. 💀,0,1,0,0,0,0
225,@abrahamendieta Otra jota liosa de derecha,0,1,0,0,0,0
226,@BrendaPlancarte Jajajajajaja puto wilo,0,1,0,0,1,0
227,No me deja de doler la panza por todo lo que he comido😖Que pasó amigo? Dónde quedó ese estómago de hierro? nos estamos poniendo medio gays.,0,1,0,0,0,0
228,En una boda gay ¿Les avientan arroz con popote?,0,1,0,0,0,0
229,@Fer_Gay @TheRock @AlexMonthy A mí @HectorTrejo me inspiró recordándome esta canción: url,0,0,0,0,1,0
230,"El sabado: para quién debe ser el mensaje del festejo de viejito con bastón

Lunes: Pum!! Por andarle jugando al vergas, me lo mandaron a la chingada 

En Computrabajo puedes buscarle como "" Recamarera "" 

Maldito marica",0,1,0,0,0,0
231,"@Mario__TAG @freddier Nono. CURSO PROFESIONAL De Eco Drag Race Car. * Estudiantes por los millones, se crowdsourcea un nuevo Tesla *",0,0,0,0,1,0
232,"@luisa_2105  jajaja, es que las lesbianas me dan miedo :(",1,0,0,0,0,0
233,@rafamancilla17 metele joto suerte 😉👍,0,1,0,0,0,0
