Unnamed: 0,content,L,G,B,T,O,NR
745,"esta mujer que parece travesti, solo opina y despedaza a los demás, y se dedica a menospreciar al prójimo es tóxica y nefasta quealguienselalleveaviviratubalú",0,0,0,1,0,0
816,"prefiero un temeroso. que un machuchon, gañán, cuello blanco, travesti (sin ofender) de url url",0,0,0,1,1,0
432,"@pajaropolitico @newsweekespanol que chingue a su madre ello, porque es joto, y su madrina el orate rt",0,1,0,0,0,0
455,@lpezvergara2 @el_mas_callado url también hay muso transvesti y trans,0,0,0,1,0,0
198,"@caifo no sea maricon, primero van los amigos, ¿cuando llegas?",0,1,0,0,0,0
772,"no sean maricas, cuando ustedes redactan spoilers o los comparten si les da mucha risa. ahora todos quieren llorar por spoilers de star wars",0,1,0,0,0,0
220,@mariobautista_ el nuevo juan gabriel por joto url,0,1,0,0,0,0
928,siempre que alguien dis pansexual me imagino una dona toda cachonda jajajaja,0,0,0,0,1,0
970,como cuando you make up a chingo para dejar de verte como una mujer fea y ententes te ves como un travesti feo. url,0,0,0,1,0,0
303,@tuca_ferretti @miguelherreradt si que paso pinche piojo puñal jajajajaja profe tuca es lo máximo usted vamos por la sexta copa :),0,1,0,0,0,0
900,@dr_sombrerudo @yoshertramos jajajajajajaja y porque un nombre de travesti??? yoshert ya lo tenía tappoco cuenta,0,0,0,1,0,0
298,las cervezas preparadas son para jotos.,0,1,0,0,0,0
1018,@escorpiongolden otro pendejo con máscara? si contigo tenemos jotito,0,1,0,0,0,0
464,pinche grupito de puros putos no mmes,0,1,0,0,0,0
711,@maestrodoria ese nombre suena a transexual jajaja,0,0,0,1,0,0
101,"@monift que joto no te abrazó jajaj ntc, tocan bien",0,1,0,0,0,0
381,@anibal_alvarado para mi que son los maricas amarillos que se hacen pasar por rayados para crear un mal ambiente en torno de mis rayados.,0,1,0,0,0,0
44,"pinche notó maricon, vente hacer lío a otro lado 😂",0,1,0,0,0,0
572,"@beatrizgmuller como siempre asnos maricas en primera fila, hasta parece que su frustración viene de familia. y como siempre la señora en buen talante dando lo que a otros les molesta un consejo.",0,1,0,0,0,0
861,¿tus papás saben que juegas a la bisexual en internet?,0,0,1,0,0,0
762,hey joto estoy aquí afuera de tu privada @cesarvc94,0,1,0,0,0,0
693,"@hebbws seh, la lista es súper larga. es solo que en entretenimiento te topas con gente gay en todas las esquinas que se escudan en closet",0,1,0,0,0,0
987,anoche no me desmaquille y hoy paresco transvesti,0,0,0,1,0,0
910,@angel_smhoax @danylacaja si putito,0,1,0,0,0,0
65,@joserive_ @navarreted96 @ailed_merida maricas ustedes yo no,0,1,0,0,0,0
636,hombres: voy a mirarla a los ojos para que crea que le pongo atención. mujeres: ¿será que es marica? ¿por qué no me mira las tetas?,0,1,0,0,0,0
680,"eres gay u homosexual porque tienes muchos/varios hermanos, la próxima vez que te pregunten puedes decir que es a causa de tus hermanos 🙊 url",0,1,0,0,0,0
482,y hombres trans al baño de mujeres. url,0,0,0,1,0,0
58,"en ing química son igual de jotos, no mamen. url",0,1,0,0,0,0
698,it's a little moral!,0,0,0,0,1,0
637,ser tortillero me hace lesbians? cco @oliver_mx url,1,0,0,0,0,0
23,la gripe es para mariquitas. 💪🎽👟💙🏋 (@ wellness gym) url,0,1,0,0,0,0
43,@jpequenoc @edumascorro bien marica,0,1,0,0,0,0
624,"@notasingleducks y para que nunca se te olvide, 10 champions, reyes de europa, sigue mandando fotos de tu pito, pinche joto.",0,1,0,0,0,0
1059,enojarse con sean penn es de mujeres negras. negras y lesbians.,1,0,0,0,0,0
150,"que difícil ver s los jóvenes de 15 y 17 años, motos aun buscan su identidad y pasan por diversas etapas, chaka-emo-hipster-bisexual",0,0,1,0,0,0
477,@olegaraveug así de homosexual despiertas??? hahaha,0,1,0,0,0,0
289,"esos que le cargan la bolsa a sus mujeres, también mean sentados? pinches jotos",0,1,0,0,0,0
416,me acabo de acordar que juanpa me dijo que su mamá pensó que yo era lesbiana. ya as if i surge novio,1,0,0,0,0,0
811,quien no entiende el sarcasmo cuando le toca es marica,0,1,0,0,0,0
1007,"entonces, chinguen a su madre. @malditalesbiana-s les iba a contestar su 21 putas locas, pero no quisieron",1,0,0,0,0,0
892,"ser un maniaco depresivo no es tarea fácil, hay quien piensa que se trata solo de andar chillando con películas de perritos perdidos y la verdad va mas allá de ser un gordo marica.",0,1,0,0,0,0
587,"si fuera mujer, definitivamente seria url la mujeres son la perfección",0,0,0,0,1,0
923,"neologismos. maricomio: psiquiátrico para locas, maricas y gays. apapuchar: acción de consent al pubis. sopervisor: supervisor torpe. @lacornetafm @jrsestaca @evidegaray nuevoneologicosmodehoy",0,1,0,0,1,0
923,"neologismos. maricomio : psiquiátrico para locas, maricas y gays. apapuchar: acción de consentir al pubis. sopervisor: supervisor torpe. @lacornetafm @jrsestaca @evidegaray nuevoneologismodehoy",0,1,0,0,1,0
277,"como chingan con el grito de puto, si te sientes ofendido es porque esta bien pendejo no porque odiemos a los homosexuales",0,1,0,0,1,0
803,"@peperuiloba ¿por qué lo dices? van a chápala, comen lonches gemma y hay gay closeteros.",0,1,0,0,0,0
144,"family tengo gay, trans y lesbianas a los que amo muchisimo. pero ellos tienen sus propios concursos, miss universo si debería ser solo para mujeres. url",1,1,0,1,1,0
312,magnate ofrece 130 mdd al hombre que demande a su hija lesbiana url,1,0,0,0,0,0
1022,@tv_jotas that no se podia parar a reclamarle jaja url,0,1,0,0,1,0
872,"amigos que te dejan en la peda, no son amigos, y de una ves chinguen a su madre, pinches putos.",0,1,0,0,0,0
415,"es : kirk cameron: “dios odia a los gays, van a ir al infierno” - yo no escogí ser heterosexual pero todos esos… url",0,1,0,0,0,0
886,@cruzhdz_sergio @felipecalderon @mexlibre_ chinga tu madre! puto marica ni foto tienes! cuando ofendas mínimo da la cara. pocos huevos!,0,1,0,0,0,0
286,"así nuestro méxico que consulta a un charlatán y transexual para ver como le irá este año, dan hueva paisanos mhonieshechicerodesatanas",0,0,0,1,0,0
899,"@goliveros qué pena @goliveros, de verdad qué pena no cumplir con el estereotipo del hombre homosexual elegebetero, ideologizado, unicornio, transgenerizado quedabien, que pide perdón por ser hombre, con el que tanto empatizas, pero como dice la canción, ""no soy monedita de oro"".",0,1,0,1,0,0
358,- algo peor que un americanista maricón???😉 - un tigre que se cree grande!!! jajajajaja,0,1,0,0,0,0
32,"que mamada eh ! seguramente todos los que irán a esa pendeja marcha , son mas closeteros que nada! marchaporlafamilia",0,1,0,0,1,0
721,@dbacks estan para llorar les debería dar vergüenza barridos por los @nationals si no tienen ganas de jugar dedíquense a otra cosa juegan como unas mariquitas 🤬🐀🤮,0,1,0,0,0,0
843,"no se conforman con ser jotas, tienen que ser feas y, encima de todo, hablar como niñas. ¡ver-ga!",0,1,0,0,0,0
756,porque el marica no lloró igual o peor cuando el farca lo eliminó el año pasado??? @vozmadridista url,0,1,0,0,0,0
81,"o mejor ""todos"", q incluye femenino, masculino, transgénero, homosexual, bisexual y lo q esta semana agregue la corrección política. url",0,0,0,0,1,0
746,"@cardonamex @antonio78391259 los insultos no son por informar, son por mal informar, para desprestigiar, andan pregonando de lo que carecen el que se lleva aguanta y no anda de cobarde ni de chillón cómo marica de ropero viejo no que muy sácale punta hipócrita..",0,1,0,0,0,0
581,"eso es lo mismo que decir: a que santifica la fiesta no está pecando y adentro de la casa tienen organias y todo el pedo, no url alguien que nace hombre o mujer en esencia siempre lo será, aquel que se enamora de un trans es gay a huevo, closetero pero lo es. url",0,0,0,1,0,0
390,"@johnerencastle eduardo verástegui terminó de mayate de políticos, le deja más que trabajar en televisa.",0,1,0,0,0,0
411,@bizbiriije @10apg @tigresoficial @gracieve @bizbiriije @10apg @tigresoficial otro jotito rayado enamorado que quiere que le contesten jaja,0,1,0,0,0,0
232,"@luisa_2105 jajaja, es que las lesbianas me dan miedo :(",1,0,0,0,0,0
158,@sandycoben obvio no. por eso la peluca?? obvio fueron de justicieros del genero. there is verga si eres trans queer o transvesti,0,0,0,1,1,0
254,@xxxabsolut @halconnegrojr @damiandgc @fragsalitalent lo peor es que debes de ser un pinche joto horrible que se escuda tras una cuenta sin foto de tan culero que estas. minimo se me disumula la gordura con la faja pero a ti lo muerto de hambre y ardido nunca se te va a quitar. 😘,0,1,0,0,0,0
536,me pregunto donde estara la mariquita esta,0,1,0,0,0,0
875,"mariquita, mariquita como radio siempre iioras.",0,1,0,0,0,0
643,me sacaron una muestra de sangre 🩸 en la tarde y mi brazo aun siente dolor. soy tan pinché maricon para todo lo que implique agujas en mi cuerpo que me da harta risa cuan joto soy inyeccion muestradelaboratorio sangre mty url,0,1,0,0,0,0
351,@rdz_roberto @donrober_ nosotros si sabemos. perder marica,0,1,0,0,0,0
377,@ascunmx @jackskinripper @rivero_vic que url ando url si no url ( como buenos putos que son) no url,0,1,0,0,0,0
192,"neta que hombre se apoda""la chofis""... pedazo de joto ps que!!",0,1,0,0,0,0
922,9 puñales viéndose fijamente. url,0,1,0,0,0,0
813,@julio_t9 @caranddriver @hennessey_perf que marica,0,1,0,0,0,0
208,"@mickemeda aplica de cualquier modo, si muchos homosexuales michoacanos fueron a cedemex se desequilibró la balanza dejando una concentración anormal",0,1,0,0,0,0
847,donde estarán esos tres chivas maricones que creyeron que por una imagen de pulido me iba a emputar?,0,1,0,0,0,0
862,@shinuhegarcia @halconnegrojr @ronogueron @televisa ridula tú pinche india fea. jota ladina. url,0,1,0,0,0,0
259,"@hadalizy @cervezatecate @tecate no hay broncas, usemos mujeres trans peluqueras para hablar de orientación sexual. educación nula.",0,0,0,1,0,0
594,"no puedes nacer homosexual, es una mentira.",0,1,0,0,0,0
59,"in una sociedad donde las preferencias sexuales son una moda y no una libre elección aparentemente innata, aborrezco a los ""homosexuales"".",1,1,0,0,0,0
244,o ya mejor me hago puto,0,1,0,0,0,0
968,@gloriatrevi @emilycmtrevi perros ladren gloria es gloria puntitos jotos,0,1,0,0,0,0
589,"@celsoeibarra aaaayy no,o sea si debe estar chida la actuación de este hombre pero no, ya me tienen hasta keke los trans",0,0,0,1,0,0
448,"una de las cosas más vale verga y jotas del mundo es decirle tipa a una mujer. mejor dale puta, suena menos mal. so lo haces, homie: url",0,1,0,0,1,0
582,"amigas solteronas: mejor den gracias a mi tocayín san antonio porque no les ha dado un novio falso, panzón, borracho, closetero y pinche feo",0,1,0,0,0,0
560,"es feo que a esa altura quieran taparle el ojo al macho y seguir de closeteros, neta a los dos se les veía el precio y pues ojalá y el despechado haya mandado a la verga al closetero o bi o quizá solo era culero.",0,1,1,0,0,0
631,jaja hay un vato hembra en mi carrera en la tarde que parece transexual. dice que es mujer pero trae paquete,0,0,0,1,0,0
410,@arturodammarnal @lopezobrador_ fuera puñales de mi perfil,0,1,0,0,0,0
567,¡queeeeeee pinches tigres maricones!,0,1,0,0,0,0
339,@evilblackmx @acidminds ¡si! pinches redes sociales jotas que usan corazones de repente (hace años). url,0,1,0,0,0,0
987,anoche no me desmaquille y hoy paresco travesti,0,0,0,1,0,0
175,maricon de mierda,0,1,0,0,0,0
86,@nhaiper @oalh @javierenrikez 😂 unos con el mayate. otros chicharra,0,1,0,0,0,0
123,@adrianrm196 me puedes criticar pero llamarme afeminado es tremenda falta de respeto. como buen milenial no mides bye,0,1,0,0,0,0
231,"@mario__tag @freddier nono. curso profesional de eco drag race car. * estudiantes por los millones, se crowdsourcea un nuevo tesla *",0,0,0,0,1,0
873,@ricardo_jaar el mariconcito de emilio atacó con alevosía y ventaja! como buen joto!,0,1,0,0,0,0
350,"- ¿porque no puedo hablar del aborto? post moderno - “no eres individuo de la especie humana con útero” - los transexuales tampoco tienen útero. post moderno - “chtm, discurso de odio, cavernícola, retrógrada, y tú pinche dios que!!” así razonan. 😎",0,0,0,1,0,0
1031,@gerard_zarate quien will aquerer ser una loca amanerada?,0,1,0,0,1,0
579,yo le hacia el cambio de sexo gratis a daniel por maldito joto cobarde yonocreoenloshombres,0,1,0,0,0,0
629,no mms pinche @neymarjr marica que te pico una hormiga o que,0,1,0,0,0,0
514,@everzapata3 dímelo en la cara joto,0,1,0,0,0,0
128,@will_fucku marica ahorita bajo :) vos por cierto todavía sirve transformer jajajajajajaja cuando entras a estudiar ?,0,1,0,1,0,0
611,"esta machorra no sabe as el único payaso es brozo... y ellos, his su broza...!!... url",1,0,0,0,0,0
991,@orfeumm no sea joto,0,1,0,0,0,0
1070,ahora ya sé porque odio tanto a mi url le va a américa el mariquita este. 🙄,0,1,0,0,0,0
420,amigos hoy no pude hacer sentadillas agusto porque un horrible homosexual me veía las nalgas.,0,1,0,0,0,0
413,que chido estuvo el masaje! lo cagante fue que al ultimo me di cuenta que era puto😶💥🔫,0,1,0,0,0,0
331,@faitelson_espn puto gordito ! eres de moral distraída . satanizando a renalgon ibarra,0,1,0,0,0,0
1048,@niurkamarcostv creo que usted viene de una relación gay o lésbica verdad o es extraterrestre pero confunda el amor como usted dice con una cogida. los hijos sagrados y usted no tiene carácter social ni etico ni moral solo es su vana expresión queda shows. por 1ra vez contigo @_ponchodenigris,1,1,0,0,0,0
1036,"@eddy_tigre22 @vladimirgarciag @tamedamus @fjg_td acá hay uno del 2021, de hecho un twitter search “rayado maricon” y hay de todos los años url",0,1,0,0,0,0
793,@eneberreache @carlosmaguey pos por marica,0,1,0,0,0,0
1027,@i_marilynmonroe lo que pasa es que marimacha. porque él otro se hizo joto,1,1,0,0,0,0
29,"@vmgleza no esperé la respuesta, es una pregunta: sabes como le dicen a los gays ...""palomitas con chile""",0,1,0,0,0,0
196,¿a dónde te vas a ir de vacaciones? -nueva york -las vegas -parís -londres. todas las jotas clichés que no se saben otros destinos.,0,1,0,0,0,0
223,"@jlozanoa @mfbeltrones a puras plucked cacas felicitas. dios los creía y ollos se juntan. el borracho con el borracho, el drogo con el drogo, el joto con el joto, la machorra con la machorra. y lozano con beltrones.",1,1,0,0,0,0
1052,"por puto, por joto, porque así es méurl lo sé. must por el maestro @fdelcollado url vía @mexicopuntocom",0,1,0,0,0,0
31,ahora si apuesta maricon @turko_dager tu milán volverá a llorar en octavos jajaja,0,1,0,0,0,0
428,@artusantillanes dile a medrano q no se joto y hable mal de su mugre empresa y vendan al equipo !!!,0,1,0,0,0,0
398,@caroruix ahhh no entonces es una amiga closetera mas !,1,0,0,0,0,0
164,"@liatrueba y luego porqué hay lesbian; que pinke descomposición; no cabe duda esta echado a loser el mundo, ¡cuanto pinche joto dios mio! pero bueno mejor para nosotros, our tocan más.",1,1,0,0,0,0
486,@edgargm94 jajaja que gay,0,1,0,0,0,0
70,"@erikaaraujo1 @reporte98_5 en contra, debe ser papá y mamá, más no gay y gay. saludos desde el sur del df. tráfico fluido el sabueso dl sur",0,1,0,0,0,0
560,"es feo que a esa altura quieran ta parle el ojo al macho y seguir de closeteros, neta a los dos se les veía el precio y pues ojalá y el despechado haya mandado a la verga al closetero o bi o quizá solo era culero.",0,1,1,0,0,0
374,"mariquitas, mariquitas, como niñas siempre gritan. url",0,1,0,0,0,0
184,"@latortilleriaq si vamos a hacer un vagón ""seguro"" que incluya a hombres gay y saquen a lenchas /@0ctavioguerra @appleninde @inmujerescdmx",1,1,0,0,0,0
291,ya casi es junio y tu sigues de puta elgorgojodemorena,0,0,0,0,1,0
363,comprobado. ser trans es efecto secundario de la clonación. url,0,0,0,1,0,0
270,@tsngirls @brittanya187187 @travel4tg @girlyshemales @sexybeast742 @sexytgirls69 @shemalepro @mytsvideo @shemalelusty @ts_lolita @nenastranscom @b_tranny2 @trannylovee @tgirl69love @blacktgirltube @tscamstars @brazil_trans @blacktgirlsinfo @godivatgirls hermosa,0,0,0,0,1,0
621,pinches jotos civilwar teamironman teamstark url,0,1,0,0,0,0
147,"esos de bts se me hacen seres asexuales, eunucos o algo así todo raro.",0,0,0,0,1,0
859,"@gamborimbo76 @elpinchejuan4 @gorillaman06 @cero3801 @solophombres @cexychics @bootyandmuscles @tittyfucker411 @georgelb66 @alonesantanagar @isabellaslut20 @burdubai12 @alexexpress24 @toganuncio @pepe100369 @divx3 @maskarita4 @saulin10801 @pelon_73 @elchicarcas6 @bootyisyummy @luisramor1 @starkiller_36 @tranquilman @lee_ecclestone @oldenchild @datassntittiez @datazzphataf @adultmodels2018 @booty_cartel @xculonas @gymbooty @netocardona @assplosive @manuel70m @bumblebee_zd @mmamaceandoo @quehembritas @brutuslwallie @countryclub3000 @pillus_75 @rafaelmedinag @rudorivera 👍 asi es! nomas que no sean de caballero o de niñas y estamos bien, por que seremos medio pervertidos, pero, ni pedofilos, ni raritos! y vengan mas culos de viejas buenisimas, no importa, colos, tamaño, ni preferencias politicas, religiosas o futbolisticas!",0,0,0,0,1,0
48,@el_universal_mx más bien un transgénero jamás será igual a una mujer.,0,0,0,1,0,0
113,"si creen que a las argentinas no les importa nada, no saben lo que son en mexico 🌶. pd: ya me quisieron coger dos gays 🧐👍🏽",0,1,0,0,0,0
155,"@luisdv15 jajajaja también por maricón, jajaja alv es cierto ¿no te dolió? es una mezcla de lo mejor del barca y el madrid sin messi y cr :(",0,1,0,0,0,0
210,paco maricón ql url,0,1,0,0,0,0
435,"mañana podrán salir todos! ya que no habrá delincuentes! todos estaran crudos o borrachos, porque gano su equipo de maricas",0,1,0,0,0,0
121,"the ex of a famoso actor the tunde durísimo a una de sus rivales llamándola incluso ""cara de travesti"". enterrate! 3pm",0,0,0,1,0,0
243,"@lasantiagoo jajaja pos no lo tengo, mariquita. te llamaría para decirte ""gay"" o algo así, después colgaría.",0,1,0,0,0,0
84,@realmarosilva no hay nada que me de mas digusto que ver a una persona trans que pasa escondiendo ser trans. como si... que.,0,0,0,1,0,0
814,"vamos pecho frío, no alcanzan las palabras, donde está la grandeza que presumes como hinchada? @rayados vergüenza nacional maricones!",0,1,0,0,0,0
1040,"es de jotitas muy corritentitas hablar y cortar palabras como ""obvi"" ""celu"" ""bendis"" o decir como locas palabras en inglés en una conversacion españurl y si eso le aunamos el tonito caguenge tipo mía colucci en versión url peor",1,1,0,0,0,0
239,"las tragedias que marcaron el 2021. -legalización del matrimonio homosexual. -asalto al capitolio. -protistas en cuba. -atlas y cruz azul campeones. por un 2022 lleno de bendiciones, éxitos y alegrías y por menos tragedias.",0,1,0,0,0,0
584,@jtrianat @eljuntapalabras un 'puñal' mugroso,0,1,0,0,0,0
602,vas a ir ? si vas a ir? pero a url a tu mamy por maricon!,0,1,0,0,0,0
312,magnate ofrece 130 mdd al hombre que conquiste a su hija lesbiana url,1,0,0,0,0,0
354,¿y si los tierraplanistas viven en un espacio polidimensional donde la tierra si es plana? ¿y si son personas no-euclidianas? ¿y si la circumferencia es identitaria y ellos son trans-planos? url,0,0,0,0,1,0
107,nisiquiera sabia que esa puta drogadicta horrenda y machorra tenia twitter 😒🙄🤢,1,0,0,0,0,0
844,¿descansaron al joto asqueroso de alex kaffie para que @luciamendezp estuviera en @programa_hoy ? 😂😂😂😂,0,1,0,0,0,0
188,"frase-puñal by pablo iglesias: ""no esto de acuerdo con que albert rivera sea derechas, es de lo que haga falta"". elpaisdebate",0,1,0,0,1,0
1037,"rt @danitafashion: cuando de adultos deciden ser transgénero, pues va. pero los niños son el reflejo de nosotros. ¡no los contaminen! &lt; wat?",0,0,0,1,0,0
1053,"alguien recuerda cuando salió justin bieber con su sencillo ""baby"" y todos pensamos ""que bueno que le den la oportunidad a una lesbiana""???",1,0,0,0,0,0
716,me regresa el acento colombiano! maricas mal paridos,0,1,0,0,0,0
758,hay demasiados gays hoy en dia :o,1,1,0,0,0,0
620,parezco puto omi de duelo xiaolin url,0,1,0,0,1,0
275,@ricardopelaez9 marica,0,1,0,0,0,0
590,"vecinos! esta noche proyectaremos con @festivalmix el documental de @flavioflorencio para @vicemexico: «trans»! 8 pm, callejón del 57! url",0,0,0,0,1,0
409,"ahora resulta que los hombres son pinches lesbianas, váyanse a la chingada todos. pinche mundo loco. url",1,0,0,0,0,0
462,"el favor mas grande que le pueden hacer a las jotas que adoran llamar la atención a través de polémica, es ignorarlas.",0,1,0,0,0,0
1044,ahora todos piensan que soy lencha,1,0,0,0,0,0
442,"@javier8bello @chivasfemenil jajajajaja ya se we, si así tengo pegue con los jotos con esa más 🤦🏻‍♂️",0,1,0,0,0,0
599,me encantan esos jotos que se arde cabron cuando les dices que no quieres nada con ellos😂👏,0,1,0,0,0,0
168,@andrewsgamez jajaja no seas joto,0,1,0,0,0,0
919,@amairaniortega no los bebés son una bendición y tienen derecho a vivir cierra tus pienas lesbiana solo profanas el odio a dios te vas a ir al infierno satanas es tu pasteur que culpa tiene ese angelito de tu calentura te hupiera gustado que te abortaran? maldita estupida sologenerasodio muerete,1,0,0,0,0,0
765,pues yo si he visto cantantes reggetoneros putos. url,0,1,0,0,0,0
857,@fer_gay tienes más entradas que la defensa del américa (la cuando se empiece a quedar pelón),0,0,0,0,1,0
949,un putito así url,0,1,0,0,0,0
479,@hersanmx @gainfante @nolocuentestv así es de maricon!! no tiene palabra!! jajaja patetico,0,1,0,0,0,0
578,@edgardbeltran @alexburruel1 no traen nada jotos,0,1,0,0,0,0
865,en directo en periscope: puto el que no diga buenos días url,0,1,0,0,0,0
915,"@almadeliatm pero luego hold a grupo of bisexual gente that criaron senseñando has negar una parte de su sexualidad. pero saben que ahí está, y se la pasan preguntando ""si yo me senseñé a que no me gusen los hombres.. por que chingados este homosexual no puede hacer lo mismo?""",0,1,1,0,0,0
174,"mi panda de oro con el miembro de fuera. lo quiero mucho, vaya cagada de fox sports rompiendo el tridente mágico para meter con calzador en las narraciones a la machorra.",1,0,0,0,0,0
233,@rafamancilla17 metele joto suerte 😉👍,0,1,0,0,0,0
53,"@_mikastro no nalgas, if lesbiana jajaja",1,0,0,0,0,0
807,"@oopsso_zorry si vas a ser el tiiiipico cobarde que comenta y no da opción de relply pa que order el tiempo!! que jotito saliste, y evidentemente no me refiero a tu sexualidad!",0,1,0,0,0,0
204,¿saben como fue que sheinbaum desapareció el cuerpo de granaderos? exacto. los volvió bisexuales. mafia gay.,0,1,1,0,0,0
54,@alexsuarez_23 da tu tanda maricon,0,1,0,0,0,0
978,"rápido.. ¿cuáles eran esas respuestas? also ""pitonisa"" is an excellent name alburero para una mujer trans. url",0,0,0,1,0,0
316,ganódelmazo es neta!? jajajajaja patéticos priistas de mierda no va a ganar esa jota de closet! nomaspri,1,1,0,0,0,0
